State,Year,HL,Total_population,Black_under_5yr,White_under_5yr,Pop_with_insur,Median_household_income,Health_Spending_per_Capita
Kansas,2019,66,2910652,12567,152378,2600061,59597,8745
Kentucky,2019,59,4449052,23273,224233,4117796,50589,9744
Louisiana,2019,104,4664362,109076,169916,4127478,49469,9657
Maine,2019,16,1335492,1666,57096,1216025,57918,11488
Maryland,2019,88,6018848,108706,175459,5561644,84805,10248
Massachusetts,2019,139,6850553,36066,247796,6593146,81215,12729
Michigan,2019,173,9965265,94978,406154,9313111,57144,9532
Missouri,2019,91,6104910,50286,281599,5430752,55461,9431
Montana,2019,12,1050649,206,49886,942477,54970,9808
Nebraska,2019,51,1914571,7418,106504,1731013,61439,9917
Nevada,2019,54,2972382,19521,106305,2609462,60365,8114
New Hampshire,2019,21,1348124,1266,57104,1252217,76768,11310
New Jersey,2019,90,8878503,72452,317417,8090314,82545,11264
New Mexico,2019,31,2092454,2599,89886,1859479,49754,8459
New York,2019,287,19572319,190372,651638,18216740,68486,12932
North Carolina,2019,234,10264876,130877,370217,8983255,54602,8619
North Dakota,2019,16,756717,2512,41972,685779,64894,10653
Ohio,2019,257,11655397,102228,513153,10780020,56602,10173
Oklahoma,2019,78,3932870,19678,165789,3309818,52919,8923
Oregon,2019,94,4129803,5118,181714,3813999,62818,9635
Pennsylvania,2019,162,12791530,98984,509601,11872063,61744,11175
Rhode Island,2019,17,1057231,4967,38148,994837,67167,10988
South Carolina,2019,111,5020806,83611,176150,4407940,53199,8345
South Dakota,2019,28,870638,1675,44672,772529,58275,11627
Tennessee,2019,165,6709356,77139,287023,5962705,53320,8827
Texas,2019,387,28260856,235792,1438446,23001793,61874,8028
Utah,2019,93,3096848,3233,209636,2781865,71621,7193
Vermont,2019,17,624313,577,26888,593622,61973,12159
Virginia,2019,107,8454463,97575,313136,7526363,74222,8826
Washington,2019,163,7404107,20048,306963,6835242,73775,8964
West Virginia,2019,10,1817305,3702,87811,1680456,46711,11951
Wisconsin,2019,103,5790716,31085,254358,5408692,61747,9652
Wyoming,2019,18,581024,373,32006,505667,64049,10111
Alaska,2020,14,736990,1353,26827,621339,77790,13642
Arizona,2020,188,7174064,23915,283776,6317548,61529,8756
Arkansas,2020,58,3011873,33919,126498,2711291,49475,9338
California,2020,901,39346023,124559,1201075,36032553,78672,10299
Connecticut,2020,91,3570549,21225,116314,3341106,79855,12489
Delaware,2020,14,967679,13414,30970,896359,69110,12899
District of Columbia,2020,14,701974,20916,15080,666771,90842,14381
Florida,2020,274,21216924,231386,706229,18250257,57703,9865
Georgia,2020,215,10516579,217747,326328,8976552,61224,8758
Hawaii,2020,51,1420074,1524,15967,1312365,83173,10291
Idaho,2020,69,1754367,714,96488,1552616,58915,8148
Illinois,2020,307,12716164,118547,473658,11682181,68428,10190
Indiana,2020,178,6696893,46127,315643,6069525,58235,10517
Iowa,2020,62,3150011,11477,160586,2960859,61836,9789
Kansas,2020,53,2912619,11733,145961,2604426,61091,9408
Kentucky,2020,65,4461952,24322,219999,4133261,52238,10257
Louisiana,2020,81,4664616,108062,164772,4161694,50800,10515
Maine,2020,30,1340825,1873,56761,1223980,59489,12077
Maryland,2020,88,6037624,108115,167447,5586014,87063,10839
Massachusetts,2020,152,6873003,33673,236084,6614995,84385,13319
Michigan,2020,186,9973907,94480,395807,9337676,59234,9897
Missouri,2020,117,6124160,49728,275746,5446869,57290,9921
Montana,2020,9,1061705,316,49729,958813,56539,10212
Nebraska,2020,67,1923826,7373,101513,1740040,63015,10514
Nevada,2020,40,3030281,20698,97677,2659502,62043,8348
New Hampshire,2020,16,1355244,1059,55895,1258301,77923,11793
New Jersey,2020,98,8885418,70940,298710,8117243,85245,11868
New Mexico,2020,34,2097021,2069,81748,1865643,51243,8902
New York,2020,268,19514849,178086,626997,18239538,71117,14007
North Carolina,2020,245,10386227,129263,358676,9093981,56642,8917
North Dakota,2020,19,760394,3164,41277,689270,65315,11301
Ohio,2020,294,11675275,103034,500437,10793219,58116,10478
Oklahoma,2020,76,3949342,19980,156609,3310379,53840,9444
Oregon,2020,81,4176346,5089,173495,3861117,65667,10071
Pennsylvania,2020,178,12794885,95647,494505,11884753,63627,11603
Rhode Island,2020,23,1057798,4595,36665,997069,70305,11694
South Carolina,2020,107,5091517,81542,171393,4472269,54864,8766
South Dakota,2020,24,879336,1932,43686,779526,59896,12495
Tennessee,2020,160,6772268,77297,281736,6014822,54833,9336
Texas,2020,404,28635442,237414,1315687,23292892,63826,8406
Utah,2020,134,3151239,3303,203433,2844130,74197,7522
Vermont,2020,6,624340,465,26414,593153,63477,12756
Virginia,2020,140,8509358,96574,300089,7601635,76398,9195
Washington,2020,160,7512465,19520,291617,6939704,77006,9265
West Virginia,2020,9,1807426,3148,85182,1668236,48037,12769
Wisconsin,2020,115,5806975,30994,245373,5422999,63293,9982
Wyoming,2020,14,581348,320,30475,505708,65304,10989
